created,text,retwc,hashtag,followers,friends
2021-10-09 17:21:04,b'Uh oh @Pfizer what is this!! https://t.co/QWLED3aucH',6862,None,1452109,944
2021-10-10 18:12:37,"b'Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyo\xe2\x80\xa6 https://t.co/WaOCEX1LTa'",1199,None,1709123,989
2021-10-10 16:00:00,b'Infrastructure Bill Includes Capitol Building Expansion To Hold All The Pfizer Lobbyists https://t.co/LTMpidzbNi',676,None,1093723,69
2021-10-11 00:00:55,"b'RT @RWMaloneMD: This is from May, is a bit dated, but should be kept in mind.\n\nhttps://t.co/axfHsFkEMw'",1475,None,1469,426
2021-10-11 00:00:53,"b'RT @EggerDC: The ""enriching the pockets of Big Pharma"" argument here is particularly bizarre. For a dose of vaccine, the government pays Pf\xe2\x80\xa6'",179,None,572,1465
2021-10-11 00:00:49,b'@jenfrank76 @CBSLA It is approved for kids 12 to 15 the Pfizer vaccine is approved for kids 12 to 15 and getting a\xe2\x80\xa6 https://t.co/fs4holYAmq',0,None,9,255
2021-10-11 00:00:48,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1199,None,243,171
2021-10-11 00:00:47,"b""@cameronwilson I'm sure #Pfizer can quickly whip up a cure. Like a Wybert shaped blueish tablet but one that makes\xe2\x80\xa6 https://t.co/QKMr8EeKW4""",0,Pfizer,28,269
2021-10-11 00:00:44,"b'@SquizzSTK He loudmouths that they are leading the country. Yes they are: first leading in spreading virus, then le\xe2\x80\xa6 https://t.co/DiIYSAc0s2'",0,None,4,30
2021-10-11 00:00:42,b'@albertarulez @endorphin1976 @nationalpost Pfizer received one of the largest criminal fines in US history and you\xe2\x80\xa6 https://t.co/BQctTqlDSG',0,None,12,252
2021-10-11 00:00:42,"b'RT @RWMaloneMD: This is from May, is a bit dated, but should be kept in mind.\n\nhttps://t.co/axfHsFkEMw'",1475,None,70,370
2021-10-11 00:00:41,"b""@The_WGD But we'll be vaccinated which is clearly more important. The currency of the future will be Moderna and Pfizer fractional shares.""",0,None,790,1577
2021-10-11 00:00:40,b'@FaheemYounus Just cash your Pfizer check and STFU.',0,None,247,238
2021-10-11 00:00:40,b'Covid-19: Nearly all Pfizer vaccines in central storage must be used before January expiry date\n\nMedsafe says the v\xe2\x80\xa6 https://t.co/tmrJWa8Hdj',0,None,1632,4447
