created,text,retwc,hashtag,followers,friends
2021-10-09 03:40:42,"b'#WATCH We are delighted with UK-India cooperation on Covishield, those travelling from India can now enter the UK w\xe2\x80\xa6 https://t.co/Y3RktF64M4'",182,WATCH,6138314,0
2021-10-09 05:13:00,b'Maharashtra: 125 Crore worth Heroin was seized in Jawaharlal Nehru Port. Will Congi \xf0\x9f\x90\x95 blame Nehru for the drugs or\xe2\x80\xa6 https://t.co/cozdLEFQRg',60,None,74072,212
2021-10-10 04:14:45,"b'1m doses of Covishield vaccines donated by #India arrive in #Myanmar \n\nSo far, Myanmar has fully vaccinated 10.8% o\xe2\x80\xa6 https://t.co/pPmlenUC06'",28,India,29407,734
2021-10-10 23:49:26,b'Covishield Vaccine story how it impacted the day to day life of a 29 year \nI am sure you know already that\xe2\x80\xa6 https://t.co/3Rn4gi9T8u',0,None,633,159
2021-10-10 23:28:32,b'RT @Pallavi24509392: #\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6_\xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xa6\xe0\xa5\x80_\xe0\xa4\x95\xe0\xa5\x87_\xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xa5_\xe0\xa4\xb9\xe0\xa5\x88\nBecause the peoples of the nation are enough intelligent for to defferentiate in between the natio\xe2\x80\xa6',80,देश_मोदी_के_साथ_है,0,23
2021-10-10 23:27:46,"b'RT @sanchak74: @VishnuFNO @dude_basu @ProsaicView Sorry about your loss - maybe it was not vax related, \nbut there must be a reason develop\xe2\x80\xa6'",1,None,1077,293
2021-10-10 23:23:51,"b'RT @theodorus_VII: @ScienceWDrDoug Trials in UK, South Africa, Brazil in april 2020.\n\nWeeks later......\n\nUK strain\nBrazil strain\nSouth Afri\xe2\x80\xa6'",2,None,656,385
2021-10-10 23:20:00,"b'As India continues to steadily ramp up #Covishield &amp; #Covaxin production as it has in the past, it can achieve the\xe2\x80\xa6 https://t.co/AUjhZaQAlX'",0,Covishield,101625,134
2021-10-10 23:18:20,"b'On 18th July 911,157 were vaccinated with their 1st dose, most received #Covishield and they are now 84 days later\xe2\x80\xa6 https://t.co/JOq81aWNQW'",0,Covishield,42,512
2021-10-10 23:17:15,"b'@ShastatheWise @SebGorka I think all those deaths are AZ:\n\n""Of the 61 TTS reports following a AstraZeneca Vaxzevria\xe2\x80\xa6 https://t.co/mQjrnnFVgD'",0,None,453,2054
2021-10-10 23:13:47,b'RT @DrJohnB2: A 18-year-old man\n- After getting the 1st dose of the #CovidVaccine (Covishield): headache &amp; recurrent vomiting for five days\xe2\x80\xa6',2845,CovidVaccine,2,3
2021-10-10 23:05:28,b'RT @ANI: #WATCH | No quarantine for Indian travellers to UK fully vaccinated with Covishield or another UK-approved vaccine from October 11\xe2\x80\xa6',2206,WATCH,107,137
2021-10-10 23:04:01,b'People who refuse the vaccine are weak cowards. \n\nThe men and women who served in war to protect this country would\xe2\x80\xa6 https://t.co/H4X5UqtIis',0,None,8,32
2021-10-10 22:54:04,"b'RT @theodorus_VII: @ScienceWDrDoug Trials in UK, South Africa, Brazil in april 2020.\n\nWeeks later......\n\nUK strain\nBrazil strain\nSouth Afri\xe2\x80\xa6'",2,None,989,4640
