created,text,retwc,hashtag,followers,friends
2021-10-17 04:21:38,b'The fifth most owned stock by members of Congress is Pfizer. \n\nNow you know.',18581,None,390260,1878
2021-10-17 21:38:15,b'These are the vaccine injury stats from Ontario. Young men are 50 times more likely to get a heart injury from a va\xe2\x80\xa6 https://t.co/6L521S85AA',2925,None,282980,2116
2021-10-17 08:01:20,b'Another private message of regret from a young man this morning - a professional triathlete - he\xe2\x80\x99s had one shot of\xe2\x80\xa6 https://t.co/5krNBqXNT9',1952,None,9883,1020
2021-10-18 22:13:37,b'RT @KamVTV: The fifth most owned stock by members of Congress is Pfizer. \n\nNow you know.',18581,None,58,438
2021-10-18 22:13:33,"b""RT @alex_n_boyd: The child doses are smaller than the adult ones, but Pfizer says a supply deal was built into Canada's existing agreement.\xe2\x80\xa6""",4,None,1372,5002
2021-10-18 22:13:31,"b'RT @clubmotoman: Pfizer CEO ""Im 59, I\'m healthy. My health type is to recommend not to get vaccinated"" https://t.co/Dcm4yk1Dht @BitChute\xe3\x82\x88\xe3\x82\x8a'",2,None,1363,1406
2021-10-18 22:13:31,"b""@DennisYarnold @WTwins210 @edredmny @Acosta If you're talking about Pfizer (I'm sure you are), Trump had nothing to\xe2\x80\xa6 https://t.co/wvUfvRZxTL""",0,None,680,776
2021-10-18 22:13:31,b'RT @ChrisOD65316390: !!!!!! Thats BIG...              https://t.co/K5fX3mB2QN',6,None,6249,6278
2021-10-18 22:13:31,"b'RT @EMA_News: EMA starts evaluating an application to extend the use of BioNTech/Pfizer\xe2\x80\x99s COVID-19 vaccine, #Comirnaty, to children aged 5\xe2\x80\xa6'",165,Comirnaty,203,447
2021-10-18 22:13:31,"b""RT @alex_n_boyd: Health Canada says they don't know how long a decision will take. However, Dr. Supriya Sharma, told media in early Oct tha\xe2\x80\xa6""",2,None,1372,5002
2021-10-18 22:13:28,b'RT @alex_n_boyd: Why is this a big deal? A vaccine for kids younger than 12 would offer critical protection for students as schools continu\xe2\x80\xa6',4,None,1372,5002
2021-10-18 22:13:28,b'@Camjenkki Way to go Pfizer-  killing records &amp; people! https://t.co/dfyyo93DEZ',0,None,420,904
2021-10-18 22:13:28,b'RT @arcadianwinds: Citizen Journalist Secretly Films 20 Year Pfizer Contractor on Covid Vax... https://t.co/oDxDqDSmaS via @YouTube',1,None,576,1263
2021-10-18 22:13:26,b'RT @alex_n_boyd: This means experts from Health Canada can now start the process of combing through all the data to decide if the dose is s\xe2\x80\xa6',7,None,1372,5002
2021-10-18 22:13:26,"b'RT @TheM0dalice: BlackRock, who is buying up homes and foreclosures at record speed in the United States has an ownership of 262,067,651 sh\xe2\x80\xa6'",1950,None,931,1933
2021-10-18 22:13:23,b'@gbtully @MThebrexitparty If we talk about vaccines we compare estimates of safety also compared to other vaccines.\xe2\x80\xa6 https://t.co/jaipCwAJtj',0,None,72,202
2021-10-18 22:13:22,"b'RT @TheM0dalice: BlackRock, who is buying up homes and foreclosures at record speed in the United States has an ownership of 262,067,651 sh\xe2\x80\xa6'",1950,None,31,358
