created,text,retwc,hashtag,followers,friends
2021-10-09 17:21:04,b'Uh oh @Pfizer what is this!! https://t.co/QWLED3aucH',6859,None,1452092,944
2021-10-10 18:12:37,"b'Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyo\xe2\x80\xa6 https://t.co/WaOCEX1LTa'",1172,None,1709119,989
2021-10-10 16:00:00,b'Infrastructure Bill Includes Capitol Building Expansion To Hold All The Pfizer Lobbyists https://t.co/LTMpidzbNi',673,None,1093719,69
2021-10-10 23:52:51,"b'RT @JackPosobiec: PFIZER LEAKS: Whistleblower Goes On Record, Reveals Emails from Chief Scientific Officer &amp; Senior Director of Worldwide R\xe2\x80\xa6'",11727,None,1306,665
2021-10-10 23:52:50,b'14-year-old dies allegedly after receiving 2nd dose Pfizer vaccine https://t.co/jCBpzzohel via @GuyanaTimes\xe2\x80\xa6 https://t.co/xNzArpIoOj',0,None,532,863
2021-10-10 23:52:50,"b""@CaffeinesC @njdotcom @pfizer It's just that the more people are vaccinated the less likely it can take hold and sp\xe2\x80\xa6 https://t.co/ZiKLmIeH4J""",0,None,0,97
2021-10-10 23:52:46,"b'RT @JohnWellsIII3: I have significantly reduced #kidney function, but the GFR was stable for a long time. Immediately after Pfizer vaccine\xe2\x80\xa6'",16,kidney,297,1390
2021-10-10 23:52:46,b'@NeverSleever #LawsOfWar\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse @CDCgov @NIH\xe2\x80\xa6 https://t.co/U0I5maTTUb',0,LawsOfWar,85,538
2021-10-10 23:52:44,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,1588,2611
2021-10-10 23:52:43,b'RT @samdman95: a new study from Israel where they are doing widespread booster doses finds that they reduce the rate of infection by a fact\xe2\x80\xa6',34,None,3583,1442
2021-10-10 23:52:40,"b'RT @karen517573531: @Covid19Critical We need to  DEMAND to know from Pfizer (and the others, but PFIZER WAS OBLIGATED 9/6) is in the vials.\xe2\x80\xa6'",66,None,2394,2436
2021-10-10 23:52:37,"b""RT @PlaysTrumpCard: They're going to study something that's been advertised since day one as completely safe and highly effective to see if\xe2\x80\xa6""",3,None,707,1102
2021-10-10 23:52:36,b'RT @Liz_Wheeler: Pfizer whistleblower who exposed plot to hide fetal cell use in production of COVID vaxx is fired. Shocking. Pfizer doesn\xe2\x80\x99\xe2\x80\xa6',540,None,2963,3497
2021-10-10 23:52:34,b'@truthstreamnews #LawsOfWar\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse @CDCgov @NIH\xe2\x80\xa6 https://t.co/v2eD4upyHI',0,LawsOfWar,85,538
2021-10-10 23:52:32,b'RT @RealCandaceO: The FDA turned up at a Pfizer manufacturing room and blacked out windows so employees could not see inside\xe2\x80\xa6 \n#PfizerLeaks',11105,PfizerLeaks,2194,3331
2021-10-10 23:52:30,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,926,2595
2021-10-10 23:52:28,"b'RT @ReadMoreBible: If you don\'t take the ""pfizer vaccine""\nYou will not be able to buy, sale.\n\n(Revelation 13:17 And that no man might buy o\xe2\x80\xa6'",14,None,22,63
2021-10-10 23:52:27,"b'RT @AnnastaciaMP: Thank you Queensland for another successful Super Pfizer Weekend \xf0\x9f\x92\xaa \n\nQueensland Health administered 47,221 vaccines over\xe2\x80\xa6'",2,None,3843,2532
2021-10-10 23:52:27,b'RT @mRNA_Death_Toll: Pro\xf0\x9f\x92\x89 nurse injured by the Pfizer booster shot https://t.co/DLYhnqGa7i',165,None,117,77
2021-10-10 23:52:25,"b""RT @sterner108: I got my 3rd Pfizer dose this morning.  Achy, spacey, confused.  In other words I'm completely normal. https://t.co/UIM48lX\xe2\x80\xa6""",1,None,19505,19512
2021-10-10 23:52:22,"b'RT @AnnastaciaMP: Thank you Queensland for another successful Super Pfizer Weekend \xf0\x9f\x92\xaa \n\nQueensland Health administered 47,221 vaccines over\xe2\x80\xa6'",2,None,297,698
2021-10-10 23:52:20,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,18,126
2021-10-10 23:52:20,"b'@Jonatha72343518 @BrandoDebi @UOL In general, people are considered fully vaccinated: \xc2\xb1\n\n    2 weeks after their se\xe2\x80\xa6 https://t.co/N6nkqoCEDp'",0,None,68,28
2021-10-10 23:52:19,b'@LibertyUSA47 @1fatboy2008 @robbieant1968 @JackPosobiec @pfizer Prove it. Prove your claims about Ivermectin. Prove\xe2\x80\xa6 https://t.co/sPDzk6H6LM',0,None,0,0
2021-10-10 23:52:16,b'@EndGameWW3 Yea because people trust data coming from pfizer lol',0,None,87,494
2021-10-10 23:52:14,b'RT @mRNA_Death_Toll: Pro\xf0\x9f\x92\x89 nurse injured by the Pfizer booster shot https://t.co/DLYhnqGa7i',165,None,47,549
2021-10-10 23:52:13,"b'RT @TileTony: @FPWellman @HockeyFanGirl12 @AllenWest Price of a Pfizer vaccine dose, $19.50.\n\nPrice of monoclonal antibody infusion, $1,250\xe2\x80\xa6'",149,None,12285,13478
2021-10-10 23:52:11,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,12,287
2021-10-10 23:52:11,"b'RT @EggerDC: The ""enriching the pockets of Big Pharma"" argument here is particularly bizarre. For a dose of vaccine, the government pays Pf\xe2\x80\xa6'",161,None,3438,592
2021-10-10 23:52:10,"b""@barnes_law Silence f/Barnes, whom I applaud w/@JackPosobiec, 4 standing up 2 gov't mandate of @pfizer's zero produ\xe2\x80\xa6 https://t.co/QodlQIgwei""",0,None,606,455
2021-10-10 23:52:09,b'@QTRResearch This is still all short term. The next shoe will drop with the mad rush to vaccinate pregnants &amp; child\xe2\x80\xa6 https://t.co/47NzlJ5ZBi',0,None,110,324
2021-10-10 23:52:09,b'@Harnesstherace @thewrightpage A: They don\xe2\x80\x99t buy the shots so no money saved. B: The direction has been to have 5 p\xe2\x80\xa6 https://t.co/GuusTpGun8',0,None,431,348
2021-10-10 23:52:06,b'@PeptoPill @NateStan99 @JackPosobiec @pfizer Depends on the variants the Delta variant has hospitalised and led to\xe2\x80\xa6 https://t.co/9HUyKZrzya',0,None,23,26
2021-10-10 23:52:04,"b'RT @ke11ybender: Boise, Idaho \xe2\x80\x94 Pro mountain biker, Kyle Warner, has pericarditis after 2nd dose of Pfizer. Although this happened back in\xe2\x80\xa6'",237,None,1023,3855
2021-10-10 23:52:01,b'RT @sammajammaz: Got the Pfizer vaccine and now I can\xe2\x80\x99t stop cumming',66,None,53,204
2021-10-10 23:51:58,b'@SusanCarland This is a powerful message. Protect your family and community. It doesn\xe2\x80\x99t take long. I\xe2\x80\x99ve got arthrit\xe2\x80\xa6 https://t.co/JOjabxBBgK',0,None,20,76
2021-10-10 23:51:55,b'RT @olivebeerthanks: #Pfizer - NOTHING TO SEE HERE! https://t.co/HiFijgTthF',2,Pfizer,798,1283
2021-10-10 23:51:54,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,34,147
2021-10-10 23:51:52,b'@TruAmericanGal1 What vax is causing this? Modena or Pfizer?',0,None,163,1416
2021-10-10 23:51:48,"b'2/4 On Aug. 25, 2021, the FDA received a supplement from Pfizer Inc. to their biologics license application for Com\xe2\x80\xa6 https://t.co/A2Sx0egJ8B'",0,None,99,584
2021-10-10 23:51:47,"b""@DrKateTO @WaytowichNeil and if you've had the Pfizer vaccine, you can very well be having two periods a month, and\xe2\x80\xa6 https://t.co/3Jj4knrUFz""",0,None,4,60
2021-10-10 23:51:46,b'@kylenabecker @clif_high #LawsOfWar\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse @CDCgov\xe2\x80\xa6 https://t.co/KmH15O349D',0,LawsOfWar,85,538
2021-10-10 23:51:45,"b'RT @EggerDC: The ""enriching the pockets of Big Pharma"" argument here is particularly bizarre. For a dose of vaccine, the government pays Pf\xe2\x80\xa6'",161,None,644,1513
