created,text,retwc,hashtag,followers,friends
2021-09-25 00:29:21,b'NBA: \xe2\x80\x9cWhy you asking for religious exemption to not get the vaccine?\xe2\x80\x9d\n\nAndrew Wiggins: https://t.co/UbNDyWVSH4',3104,None,184845,4136
2021-09-24 13:51:10,"b""Unbelievable: after 18 months of demanding everyone FOLLOW THE SCIENCE and scorning any questioning, Biden's CDC Di\xe2\x80\xa6 https://t.co/E3stuhOf1O""",7424,None,1700139,990
2021-09-25 13:00:02,b'Pfizer Assures That Vaccine Is Almost As Safe For Kids As COVID https://t.co/b0iNmjra4G',1733,None,1079713,69
2021-09-26 02:20:40,b'RT @RichTheYouTuber: Charlie Chill \xe2\x9e\xa1\xef\xb8\x8f Factual Statement of Taking The Vaccine is A Must! https://t.co/G8b0NRWWH3',16,None,57,236
2021-09-26 02:20:40,"b""RT @ANI: I would like to inform the UNGA that India has developed the world's first DNA vaccine. This can be administered to anyone above t\xe2\x80\xa6""",2067,None,34,57
2021-09-26 02:20:40,"b""@HowardA_Esq My coworker had said he could not imagine himself ever getting the vaccine; I've been pushing him to g\xe2\x80\xa6 https://t.co/jGYp969DVM""",0,None,388,371
2021-09-26 02:20:40,"b'RT @TheZaiduLeaks: During UNGA address PM IK mentioned following words:\n\n15 times Kashmir,17 times Afg, Hindutva 18 times,98 times Allah\n\nM\xe2\x80\xa6'",988,None,9,5
2021-09-26 02:20:40,b'@themightybruins And if you were attending the game you had to prove vaccine or negative test to get in (for 12+).',0,None,264,1823
2021-09-26 02:20:39,b'Seen a few tweets today about unvaxxed people holding the country to ransom. IT IS 100% UNTRUE! This Govt is holdin\xe2\x80\xa6 https://t.co/MzT3Hmv1Qt',0,None,28,86
2021-09-26 02:20:39,b'RT @kylegriffin1: Poll after poll shows the same thing: Americans are cool with vaccine mandates. https://t.co/Z9fAhdHQ7A',1487,None,17365,6654
2021-09-26 02:20:39,"b'RT @deanjoannou: Kyrie is just ridiculous. His being anti-vax is surprising to no one but acting like him, Andrew Wiggins, and Jonathan Isa\xe2\x80\xa6'",4,None,128,151
2021-09-26 02:20:38,"b""@chrissaccoccia1 Why isn't this guy arrested!  Our bodies our choice!  If we want the vaccine we should be able to\xe2\x80\xa6 https://t.co/B6jXMhEkDL""",0,None,1839,2429
2021-09-26 02:20:38,"b'RT @BethanyCherisse: Vaccine Supremacy is the new white supremacy. \n\nIdentifying, removing, and purging the unvaxxed is the new ethnic clea\xe2\x80\xa6'",90,None,154,404
2021-09-26 02:20:38,b'RT @harpersbazaarus: Prince Harry and Meghan Markle Call For Vaccine Equity During Global Citizen Live https://t.co/CsLFPQCCu9',113,None,107,350
2021-09-26 02:20:38,"b'Nice try,\nBut once you got the smallpox shot you didnt get it again.\n\nTHIS IS NOT THE SAME CASE.\n\n""Biden\'s vaccine\xe2\x80\xa6 https://t.co/IYsEJKULNg'",0,None,661,779
2021-09-26 02:20:38,b'Pincode: 560103\nCOVAXIN - Dose 1: 50 slots\n\nAge: 18 and above  (All Ages)\nDate: 28 Sep 2021\nFees: \xe2\x82\xb91250\nDr Sunny Me\xe2\x80\xa6 https://t.co/XEijAs9yOD',0,None,22,0
2021-09-26 02:20:37,b'RT @SopanDeb: I didn\xe2\x80\x99t even notice this. Kyrie Irving\xe2\x80\x99s aunt says Irving is going to present alternate \xe2\x80\x9cresearch\xe2\x80\x9d about why you \xe2\x80\x9cnecessaril\xe2\x80\xa6',39,None,394,453
2021-09-26 02:20:37,b'RT @canadiangirls99: I want all my friends to know you never have to tell me your vaccine status.\n\nI think it\xe2\x80\x99s criminal that the governmen\xe2\x80\xa6',11,None,2084,2857
2021-09-26 02:20:37,"b'RT @What46HasDone: Today in ""Sleepy"" President Joe Biden\'s Day:\n\nVaccine booster speech with press Q&amp;A\nBilateral Summit and remarks with In\xe2\x80\xa6'",46,None,626,311
2021-09-26 02:20:37,"b'RT @brenbrenchie: Join Prince Harry and Meghan, The Duke and Duchess of Sussex, in Calling for Equitable Vaccine Access https://t.co/DkqcS6\xe2\x80\xa6'",2,None,335,125
2021-09-26 02:20:37,"b'RT @CPAC: .@NFL canceled @victoryboyd over her position on vaccines: \xe2\x80\x9cIf I want to take the vaccine, the decision will be between myself, m\xe2\x80\xa6'",396,None,379,851
2021-09-26 02:20:36,b'RT @jacobcabe: BREAKING: Dozens of Massachusetts troopers line up to quit over vaccine mandate as the state police are already critically s\xe2\x80\xa6',5423,None,211,865
2021-09-26 02:20:36,"b'RT @TheMarieOakes: Massive protest is underway in Montreal, Quebec, Canada against the government mandated domestic vaccine pass and restri\xe2\x80\xa6'",1839,None,458,435
2021-09-26 02:20:36,b'@1_inna_mil Bitch i had to read it twice I thought u said the vaccine \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',0,None,829,590
2021-09-26 02:20:36,"b'RT @adela_buzescu: The difference between Romania and US right now: doctors come up on national TV and talk about vaccine injuries, injured\xe2\x80\xa6'",70,None,2743,959
2021-09-26 02:20:36,"b'@MysterySolvent Why is Twitter allowing all these accounts to tweet vaccine and mask lies, and when *we* challenge\xe2\x80\xa6 https://t.co/4X24gDyZTV'",0,None,3539,3952
2021-09-26 02:20:36,"b""@BadCOVID19Takes Let's see.\nFirst, there's Nicki's cousin's friend trying to get people to believe his STD isn't ST\xe2\x80\xa6 https://t.co/2EUdfDPqa2""",0,None,282,131
2021-09-26 02:20:36,b'RT @kylegriffin1: Poll after poll shows the same thing: Americans are cool with vaccine mandates. https://t.co/Z9fAhdHQ7A',1487,None,2801,3698
2021-09-26 02:20:35,b'RT @canadiangirls99: I want all my friends to know you never have to tell me your vaccine status.\n\nI think it\xe2\x80\x99s criminal that the governmen\xe2\x80\xa6',11,None,61,217
2021-09-26 02:20:35,b'@jon_walkin @LuversNightmare @emmahondry @LenoreRaven @POTUS The fuck? The delta variant and others were in circula\xe2\x80\xa6 https://t.co/tYDX0qWplE',0,None,176,146
