created,text,retwc,hashtag,followers,friends
2021-10-08 00:28:35,"b""I've been clear on this since day ONE. We need EVERY eligible Virginian to get vaccinated. We can't let anti-vaxx G\xe2\x80\xa6 https://t.co/ZIbfTaA0gl""",597,None,106040,1657
2021-10-07 13:03:57,b'Parents are going to be extremely hesitant to vaxx small children. And that hesitancy is entirely justified. Covid\xe2\x80\xa6 https://t.co/kmH5OsYjuL',1236,None,3629203,304
2021-10-08 14:53:51,b'What does Glenn Youngkin have against science? First it\xe2\x80\x99s all this anti-vaxx nonsense and now he\xe2\x80\x99s saying humans ar\xe2\x80\xa6 https://t.co/z7JqcurWi0',263,None,106040,1657
2021-10-09 04:01:27,"b""RT @Bret_Sears: My son can't play hockey this year due to vaxx passports so he's teaching himself how to play piano. I'm proud of him for t\xe2\x80\xa6""",168,None,3454,2694
2021-10-09 04:00:52,"b'RT @PoetBronx: Booster Doses (2-6 months after F/V)\nFully Vaxx       Count          %Fully Vaxx\nTotal                 7,284,455   3.9%\nPop.\xe2\x80\xa6'",1,None,34,16
2021-10-09 04:00:45,"b'RT @SChad71593015: Lockdowns, masks, distancing, vaxx to 70, them 80\xe2\x80\xa6\n\nTime to change the losing playbook or fire the coaches. Either way,\xe2\x80\xa6'",16,None,472,946
2021-10-09 04:00:44,"b'Booster Doses (2-6 months after F/V)\nFully Vaxx       Count          %Fully Vaxx\nTotal                 7,284,455\xe2\x80\xa6 https://t.co/oC0xWN0qVI'",1,None,34,16
2021-10-09 04:00:36,b'This would minimise C19 transmission in all groups e.g. C19 symptomatic &amp; asymptomatic. How else can you monitor as\xe2\x80\xa6 https://t.co/Y46aKOqAf5',0,None,44,134
2021-10-09 04:00:24,b'@ItalianGirl706 #LawsOfWar\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse @CDCgov @NIH\xe2\x80\xa6 https://t.co/MO7AEgMYH5',0,LawsOfWar,84,526
2021-10-09 04:00:15,b'@AusTransparency what mrmadrigal says and i was told at doctor vaxx info automatically sent to our mygov accounts.',0,None,243,220
2021-10-09 04:00:15,"b""@RubinReport I'm so confused. When ur vaccinated you're safe (LOL) which means unvaccinated and non-mask wearers ar\xe2\x80\xa6 https://t.co/7G4Vg9bDh6""",0,None,0,7
2021-10-09 04:00:13,b'RT @clif_high: Tim Pool talking vaxx with Veritas..\nhttps://t.co/pIgE1xNKRU',167,None,32,92
2021-10-09 04:00:07,b'Keep boycotting my fellow South Africans... We out number the so called vaxxed who have 8 months on a ratio of 2 to\xe2\x80\xa6 https://t.co/2DqH0nVqLn',0,None,1840,928
2021-10-09 04:00:03,b'Anti-vaxx healthcare workers who quit their jobs hurt disadvantaged patients the most.\n\n\xe2\x80\x9cWe need more clinicians wh\xe2\x80\xa6 https://t.co/N5Zi5P0tDY',0,None,7841,493
2021-10-09 04:00:02,b'When somebody said the vaxx stop ya d!!ck from working that\xe2\x80\x99s all black folk needed to hear \xf0\x9f\x99\x85\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\x82\xf0\x9f\xa5\x83',0,None,527,1890
2021-10-09 03:59:47,b'RT @MarlowNYC: strange how that THR piece on covid names letitia wright as allegedly spreading anti-vaxx views while protecting the name of\xe2\x80\xa6',218,None,503,303
2021-10-09 03:59:45,"b'RT @FilmThePoliceLA: Hollywood Blvd, Saturday, 11:22 AM:\n\nANTI-VAXX PROTESTER: Do you see all of these homeless people around. Are they dea\xe2\x80\xa6'",50817,None,15,46
2021-10-09 03:59:44,b'@jonathan_kramer @LindaMDickson3 @DesignationSix not sure your point here. but if what that person said is true i t\xe2\x80\xa6 https://t.co/jcpmJG42Lw',0,None,122,679
2021-10-09 03:59:32,"b'RT @TotalProSports: ""How about this? We got really smart people...a lot smarter than anybody in the NBA, whose already done the research,""\xe2\x80\xa6'",11,None,137,197
2021-10-09 03:59:26,"b'RT @FilmThePoliceLA: Hollywood Blvd, Saturday, 11:22 AM:\n\nANTI-VAXX PROTESTER: Do you see all of these homeless people around. Are they dea\xe2\x80\xa6'",50817,None,211,147
